"Thursday, April 7, 2022"

1:05 pm Boston Red Sox @ New York Yankees

2:20 pm Milwaukee Brewers @ Chicago Cubs

7:10 pm Toronto Blue Jays @ Boston Red Sox

7:10 pm San Francisco Giants @ New York Mets

7:40 pm Tampa Bay Rays @ Chicago Cubs

8:10 pm Minnesota Twins @ Kansas City Royals

9:40 pm Baltimore Orioles @ Oakland Athletics

9:40 pm Texas Rangers @ Seattle Mariners

"Thursday, April 21, 2022"

1:10 pm Chicago White Sox @ Cleveland Guardians

1:10 pm New York Yankees @ Detroit Tigers

1:10 pm San Francisco Giants @ New York Mets

1:35 pm Toronto Blue Jays @ Boston Red Sox

2:10 pm Minnesota Twins @ Kansas City Royals

3:37 pm Baltimore Orioles @ Oakland Athletics

4:05 pm Arizona D'Backs @ Washington Nationals

6:40 pm St. Louis Cardinals @ Miami Marlins

7:40 pm Pittsburgh Pirates @ Chicago Cubs

9:40 pm Texas Rangers @ Seattle Mariners

"Friday, April 22, 2022"

2:20 pm Pittsburgh Pirates @ Chicago Cubs

6:40 pm St. Louis Cardinals @ Cincinnati Reds

7:05 pm Cleveland Guardians @ New York Yankees

7:05 pm Milwaukee Brewers @ Philadelphia Phillies

7:05 pm San Francisco Giants @ Washington Nationals

7:10 pm Colorado Rockies @ Detroit Tigers

7:10 pm Boston Red Sox @ Tampa Bay Rays

7:20 pm Miami Marlins @ Atlanta Braves

8:10 pm Toronto Blue Jays @ Houston Astros

8:10 pm Chicago White Sox @ Minnesota Twins

9:38 pm Baltimore Orioles @ Los Angeles Angels

9:40 pm New York Mets @ Arizona D'Backs

9:40 pm Texas Rangers @ Oakland Athletics

9:40 pm Los Angeles Dodgers @ San Diego Padres

9:40 pm Kansas City Royals @ Seattle Mariners

"Saturday, April 23, 2022"

1:05 pm Cleveland Guardians @ New York Yankees

1:05 pm San Francisco Giants @ Washington Nationals

1:10 pm Colorado Rockies @ Detroit Tigers

2:20 pm Pittsburgh Pirates @ Chicago Cubs

4:05 pm Chicago White Sox @ Minnesota Twins

4:05 pm Milwaukee Brewers @ Philadelphia Phillies

